"Company Name","Industry","Symbol","Series","ISIN Code"
"Mahindra & Mahindra Ltd.","AUTOMOBILES - 4 WHEELERS","M&M","EQ","INE101A01026"
"Mahindra Lifespace Developers Ltd.","CONSTRUCTION","MAHLIFE","EQ","INE813A01018"
"Man Infraconstruction Ltd.","CONSTRUCTION","MANINFRA","EQ","INE949H01015"
"Mandhana Industries Ltd.","TEXTILE PRODUCTS","MANDHANA","EQ","INE087J01010"
"Mangalore Chemicals & Fertilizers Ltd.","PESTICIDES AND AGROCHEMICALS","MANGCHEFER","EQ","INE558B01017"
"Mangalore Refinery & Petrochemicals Ltd.","REFINERIES","MRPL","EQ","INE103A01014"
"Marico Ltd.","PERSONAL CARE","MARICO","EQ","INE196A01026"
"Maruti Suzuki India Ltd.","AUTOMOBILES - 4 WHEELERS","MARUTI","EQ","INE585B01010"
"Mastek Ltd.","COMPUTERS - SOFTWARE","MASTEK","EQ","INE759A01021"
"Max India Ltd.","PACKAGING","MAX","EQ","INE180A01020"
"McLeod Russel India Ltd.","TEA AND COFFEE","MCLEODRUSS","EQ","INE942G01012"
"Mercator Ltd.","MINING","MERCATOR","EQ","INE934B01028"
"Merck Ltd.","PHARMACEUTICALS","MERCK","EQ","INE199A01012"
"MindTree Ltd.","COMPUTERS - SOFTWARE","MINDTREE","EQ","INE018I01017"
"Monnet Ispat and Energy Ltd.","STEEL AND STEEL PRODUCTS","MONNETISPA","EQ","INE743C01013"
"Monsanto India Ltd.","PESTICIDES AND AGROCHEMICALS","MONSANTO","EQ","INE274B01011"
"Motherson Sumi Systems Ltd.","AUTO ANCILLARIES","MOTHERSUMI","EQ","INE775A01035"
"Motilal Oswal Financial Services Ltd.","FINANCE","MOTILALOFS","EQ","INE338I01027"
"MphasiS Ltd.","COMPUTERS - SOFTWARE","MPHASIS","EQ","INE356A01018"
"Muthoot Finance Ltd.","FINANCE","MUTHOOTFIN","EQ","INE414G01012"
"NCC Ltd.","CONSTRUCTION","NCC","EQ","INE868B01028"
"NHPC Ltd.","POWER","NHPC","EQ","INE848E01016"
"NIIT Ltd.","COMPUTERS - SOFTWARE","NIITLTD","EQ","INE161A01038"
"NMDC Ltd.","MINING","NMDC","EQ","INE584A01023"
"NTPC Ltd.","POWER","NTPC","EQ","INE733E01010"
"National Aluminium Co. Ltd.","ALUMINIUM","NATIONALUM","EQ","INE139A01034"
"Nava Bharat Ventures Ltd.","POWER","NBVENTURES","EQ","INE725A01022"
"Navneet Publications (India) Ltd.","PRINTING AND PUBLISHING","NAVNETPUBL","EQ","INE060A01024"
"Network18 Media & Investments Ltd.","FINANCE","NETWORK18","EQ","INE870H01013"
"Neyveli Lignite Corporation Ltd.","POWER","NEYVELILIG","EQ","INE589A01014"
"Nilkamal Ltd.","PLASTIC AND PLASTIC PRODUCTS","NILKAMAL","EQ","INE310A01015"
"Noida-Toll Bridge Co. Ltd.","CONSTRUCTION","NOIDATOLL","EQ","INE781B01015"
"Oberoi Realty Ltd.","CONSTRUCTION","OBEROIRLTY","EQ","INE093I01010"
"Oil & Natural Gas Corporation Ltd.","OIL EXPLORATION/PRODUCTION","ONGC","EQ","INE213A01029"
"Oil India Ltd.","OIL EXPLORATION/PRODUCTION","OIL","EQ","INE274J01014"
"Omaxe Ltd.","CONSTRUCTION","OMAXE","EQ","INE800H01010"
"Opto Circuits (I) Ltd.","PHARMACEUTICALS","OPTOCIRCUI","EQ","INE808B01016"
"Oracle Financial Services Software Ltd.","COMPUTERS - SOFTWARE","OFSS","EQ","INE881D01027"
"Orbit Corporation Ltd.","CONSTRUCTION","ORBITCORP","EQ","INE628H01015"
"Orchid Chemicals & Pharmaceuticals Ltd.","PHARMACEUTICALS","ORCHIDCHEM","EQ","INE191A01019"
"Orient Paper & Industries Ltd.","CEMENT AND CEMENT PRODUCTS","ORIENTPPR","EQ","INE592A01026"
"Oriental Bank of Commerce","BANKS","ORIENTBANK","EQ","INE141A01014"
"Oriental Hotels Ltd.","HOTELS","ORIENTHOT","EQ","INE750A01020"
"Orissa Min Dev Co Ltd.","MINING","ORISSAMINE","EQ","INE725E01024"
"Oswal Chemicals & Fertilizers Ltd.","TRADING","BINDALAGRO","EQ","INE143A01010"
"PSL Ltd.","STEEL AND STEEL PRODUCTS","PSL","EQ","INE474B01017"
"PTC India Ltd.","POWER","PTC","EQ","INE877F01012"
"Page Industries Ltd.","TEXTILE PRODUCTS","PAGEIND","EQ","INE761H01022"
"Pantaloon Retail (India) Ltd.","MISCELLANEOUS","PANTALOONR","EQ","INE623B01027"
"Parsvnath Developer Ltd.","CONSTRUCTION","PARSVNATH","EQ","INE561H01026"
"Patel Engineering Ltd.","CONSTRUCTION","PATELENG","EQ","INE244B01030"
"Peninsula Land Ltd.","CONSTRUCTION","PENINLAND","EQ","INE138A01028"
"Persistent Systems Ltd.","COMPUTERS - SOFTWARE","PERSISTENT","EQ","INE262H01013"
"Petronet LNG Ltd.","GAS","PETRONET","EQ","INE347G01014"
"Pfizer Ltd.","PHARMACEUTICALS","PFIZER","EQ","INE182A01018"
"Phoenix Mills Ltd.","CONSTRUCTION","PHOENIXLTD","EQ","INE211B01039"
"Pidilite Industries Ltd.","CHEMICALS - SPECIALITY","PIDILITIND","EQ","INE318A01026"
"Pipavav Defence and Offshore Engineering Company Ltd.","SHIPPING","PIPAVAVDOC","EQ","INE542F01012"
"Piramal Enterprises Ltd.","PHARMACEUTICALS","PEL","EQ","INE140A01024"
"Polaris Financial Technology Ltd.","COMPUTERS - SOFTWARE","POLARIS","EQ","INE763A01023"
"Power Finance Corporation Ltd.","FINANCIAL INSTITUTION","PFC","EQ","INE134E01011"
"Power Grid Corporation of India Ltd.","POWER","POWERGRID","EQ","INE752E01010"
"Praj Industries Ltd.","ENGINEERING","PRAJIND","EQ","INE074A01025"
"Prakash Industries Ltd.","STEEL AND STEEL PRODUCTS","PRAKASH","EQ","INE603A01013"
"Prestige Estates Projects Ltd.","CONSTRUCTION","PRESTIGE","EQ","INE811K01011"
"Prime Focus Ltd","MEDIA & ENTERTAINMENT","PFOCUS","EQ","INE367G01038"
"Prism Cement Ltd.","CEMENT AND CEMENT PRODUCTS","PRISMCEM","EQ","INE010A01011"
"Procter & Gamble Hygiene & Health Care Ltd.","PERSONAL CARE","PGHH","EQ","INE179A01014"
"Punj Lloyd Ltd.","CONSTRUCTION","PUNJLLOYD","EQ","INE701B01021"
"Punjab National Bank","BANKS","PNB","EQ","INE160A01014"
"Puravankara Projects Ltd.","CONSTRUCTION","PURVA","EQ","INE323I01011"
"Radico Khaitan Ltd","BREW/DISTILLERIES","RADICO","EQ","INE944F01028"
"Rajesh Exports Ltd.","GEMS JEWELLERY AND WATCHES","RAJESHEXPO","EQ","INE343B01030"
"Rallis India Ltd.","PESTICIDES AND AGROCHEMICALS","RALLIS","EQ","INE613A01020"
"Ramco Industries Ltd.","CEMENT AND CEMENT PRODUCTS","RAMCOIND","EQ","INE614A01028"
"Ramky Infra Ltd.","CONSTRUCTION","RAMKY","EQ","INE874I01013"
"Ranbaxy Laboratories Ltd.","PHARMACEUTICALS","RANBAXY","EQ","INE015A01028"
"Rashtriya Chemicals & Fertilizers Ltd.","FERTILISERS","RCF","EQ","INE027A01015"
"Raymond Ltd.","TEXTILE PRODUCTS","RAYMOND","EQ","INE301A01014"
"Redington (India) Ltd.","TRADING","REDINGTON","EQ","INE891D01026"
"Rei Agro Ltd.","FOOD AND FOOD PROCESSING","REIAGROLTD","EQ","INE385B01031"
"Reliance Capital Ltd.","FINANCE","RELCAPITAL","EQ","INE013A01015"
"Reliance Communications Ltd.","TELECOMMUNICATION - SERVICES","RCOM","EQ","INE330H01018"
"Reliance Industrial Infrastructure Ltd.","ENGINEERING","RIIL","EQ","INE046A01015"
"Reliance Industries Ltd.","REFINERIES","RELIANCE","EQ","INE002A01018"
"Reliance Infrastructure Ltd.","POWER","RELINFRA","EQ","INE036A01016"
"Reliance Power Ltd.","POWER","RPOWER","EQ","INE614G01033"
"Religare Enterprises Ltd.","FINANCE","RELIGARE","EQ","INE621H01010"
"Rolta India Ltd.","COMPUTERS - SOFTWARE","ROLTA","EQ","INE293A01013"
"Ruchi Soya Industries Ltd.","SOLVENT EXTRACTION","RUCHISOYA","EQ","INE619A01027"
"Rural Electrification Corporation Ltd.","FINANCIAL INSTITUTION","RECLTD","EQ","INE020B01018"
"S. Kumars Nationwide Ltd.","TEXTILE PRODUCTS","SKUMARSYNF","EQ","INE772A01016"
"S.E. Investments Ltd.","FINANCE","SEINV","EQ","INE420C01042"
"SKF India Ltd.","BEARINGS","SKFINDIA","EQ","INE640A01023"
"SKS Microfinance Ltd.","FINANCE","SKSMICRO","EQ","INE180K01011"
"SREI Infrastructure Finance Ltd.","FINANCE","SREINFRA","EQ","INE872A01014"
"SRF Ltd.","TEXTILES - SYNTHETIC","SRF","EQ","INE647A01010"
"Sadbhav Engineering Ltd","CONSTRUCTION","SADBHAV","EQ","INE226H01026"
"Sanofi India Ltd.","PHARMACEUTICALS","SANOFI","EQ","INE058A01010"
"Sesa Goa Ltd.","MINING","SESAGOA","EQ","INE205A01025"
"Shanthi Gears Ltd.","AUTO ANCILLARIES","SHANTIGEAR","EQ","INE631A01022"
"Shasun Pharmaceuticals Ltd.","PHARMACEUTICALS","SHASUNPHAR","EQ","INE317A01028"
"Shipping Corporation of India Ltd.","SHIPPING","SCI","EQ","INE109A01011"
"Shoppers Stop Ltd.","MISCELLANEOUS","SHOPERSTOP","EQ","INE498B01024"
"Shree Ashtavinayak Cine Vision Ltd.","MEDIA & ENTERTAINMENT","SHREEASHTA","BE","INE538H01024"
"Shree Cement Ltd.","CEMENT AND CEMENT PRODUCTS","SHREECEM","EQ","INE070A01015"
"Shree Renuka Sugars Ltd.","SUGAR","RENUKA","EQ","INE087H01022"
"Shrenuj & Co. Ltd.","GEMS JEWELLERY AND WATCHES","SHRENUJ","EQ","INE633A01028"
"Shri Lakshmi Cotsyn Ltd.","TEXTILES - COTTON","SHLAKSHMI","EQ","INE851B01016"
"Shriram City Union Finance Ltd.","FINANCE","SHRIRAMCIT","EQ","INE722A01011"
"Shriram Transport Finance Co. Ltd.","FINANCE","SRTRANSFIN","EQ","INE721A01013"
"Siemens Ltd.","ELECTRICAL EQUIPMENT","SIEMENS","EQ","INE003A01024"
"Simplex Infrastructures Ltd.","CONSTRUCTION","SIMPLEXINF","EQ","INE059B01024"
"Sintex Industries Ltd.","PLASTIC AND PLASTIC PRODUCTS","SINTEX","EQ","INE429C01035"
"Sobha Developers Ltd.","CONSTRUCTION","SOBHA","EQ","INE671H01015"
"Sona Koyo Steering Systems Ltd.","AUTO ANCILLARIES","SONASTEER","EQ","INE643A01035"
"Sonata Software Ltd.","COMPUTERS - SOFTWARE","SONATSOFTW","EQ","INE269A01021"
"South Indian Bank Ltd.","BANKS","SOUTHBANK","EQ","INE683A01023"
"State Bank of Bikaner & Jaipur Ltd.","BANKS","SBBJ","EQ","INE648A01026"
"State Bank of India","BANKS","SBIN","EQ","INE062A01012"
"State Bank of Travancore","BANKS","SBT","EQ","INE654A01024"
"Steel Authority of India Ltd.","STEEL AND STEEL PRODUCTS","SAIL","EQ","INE114A01011"
"Sterling Biotech Ltd","PHARMACEUTICALS","STERLINBIO","BE","INE324C01038"
"Sterlite Technologies Ltd.","ELECTRICAL EQUIPMENT","STRTECH","EQ","INE089C01029"
"Strides Arcolab Ltd.","PHARMACEUTICALS","STAR","EQ","INE939A01011"
"Sujana Towers Ltd.","TELECOMMUNICATION - EQUIPMENT","SUJANATOW","BE","INE333I01028"
"Sun Pharmaceutical Industries Ltd.","PHARMACEUTICALS","SUNPHARMA","EQ","INE044A01036"
"Sun TV Network Ltd.","MEDIA & ENTERTAINMENT","SUNTV","EQ","INE424H01027"
"Sundaram Finance Ltd.","FINANCE","SUNDARMFIN","EQ","INE660A01013"
"Sundram Fasteners Ltd.","FASTNERS","SUNDRMFAST","EQ","INE387A01021"
"Sunteck Realty Ltd.","CONSTRUCTION","SUNTECK","EQ","INE805D01026"
"Supreme Industries Ltd.","PLASTIC AND PLASTIC PRODUCTS","SUPREMEIND","EQ","INE195A01028"
"Supreme Infrastructure India Ltd.","CONSTRUCTION","SUPREMEINF","EQ","INE550H01011"
"Supreme Petrochem Ltd.","PETROCHEMICALS","SUPPETRO","EQ","INE663A01017"
"Suzlon Energy Ltd.","ELECTRICAL EQUIPMENT","SUZLON","EQ","INE040H01021"
"Swaraj Engines Ltd.","DIESEL ENGINES","SWARAJENG","EQ","INE277A01016"
"Syndicate Bank","BANKS","SYNDIBANK","EQ","INE667A01018"
"TD Power Systems Ltd.","ELECTRICAL EQUIPMENT","TDPOWERSYS","EQ","INE419M01019"
"TTK Prestige Ltd.","CONSUMER DURABLES","TTKPRESTIG","EQ","INE690A01010"
"TV18 Broadcast Ltd.","MEDIA & ENTERTAINMENT","TV18BRDCST","EQ","INE886H01027"
"TVS Motor Company Ltd.","AUTOMOBILES - 2 AND 3 WHEELERS","TVSMOTOR","EQ","INE494B01023"
"Tamil Nadu Newsprint & Papers Ltd.","PAPER AND PAPER PRODUCTS","TNPL","EQ","INE107A01015"
"Tata Chemicals Ltd.","CHEMICALS - INORGANIC","TATACHEM","EQ","INE092A01019"
"Tata Coffee Ltd.","TEA AND COFFEE","TATACOFFEE","EQ","INE493A01019"
"Tata Communications Ltd.","TELECOMMUNICATION - SERVICES","TATACOMM","EQ","INE151A01013"
"Tata Consultancy Services Ltd.","COMPUTERS - SOFTWARE","TCS","EQ","INE467B01029"
"Tata Elxsi Ltd.","COMPUTERS - SOFTWARE","TATAELXSI","EQ","INE670A01012"
"Tata Global Beverages Ltd.","TEA AND COFFEE","TATAGLOBAL","EQ","INE192A01025"
"Tata Investment Corporation Ltd.","FINANCE","TATAINVEST","EQ","INE672A01018"
"Tata Motors Ltd.","AUTOMOBILES - 4 WHEELERS","TATAMOTORS","EQ","INE155A01022"
"Tata Power Co. Ltd.","POWER","TATAPOWER","EQ","INE245A01021"
"Tata Sponge Iron Ltd.","STEEL AND STEEL PRODUCTS","TATASPONGE","EQ","INE674A01014"
"Tata Steel Ltd.","STEEL AND STEEL PRODUCTS","TATASTEEL","EQ","INE081A01012"
"Tech Mahindra Ltd.","COMPUTERS - SOFTWARE","TECHM","EQ","INE669C01028"
"Techno Elt & Eng Co. Ltd.","ENGINEERING","TECHNO","EQ","INE286K01024"
"Thermax Ltd.","ELECTRICAL EQUIPMENT","THERMAX","EQ","INE152A01029"
"Thomas Cook (India) Ltd.","TRAVEL AND TRANSPORT","THOMASCOOK","EQ","INE332A01027"
"Tinplate Company of India Ltd.","STEEL AND STEEL PRODUCTS","TINPLATE","EQ","INE422C01014"
"Titan Industries Ltd.","GEMS JEWELLERY AND WATCHES","TITAN","EQ","INE280A01028"
"Torrent Pharmaceuticals Ltd.","PHARMACEUTICALS","TORNTPHARM","EQ","INE685A01028"
"Torrent Power Ltd.","POWER","TORNTPOWER","EQ","INE813H01021"
"Tree House Education & Accessories Ltd.","MISCELLANEOUS","TREEHOUSE","EQ","INE040M01013"
"Trent Ltd.","MISCELLANEOUS","TRENT","EQ","INE849A01012"
"Tube Investments of India Ltd.","CYCLES","TUBEINVEST","EQ","INE149A01025"
"Tulip Telecom Ltd.","TELECOMMUNICATION - SERVICES","TULIP","EQ","INE122H01027"
"UCO Bank","BANKS","UCOBANK","EQ","INE691A01018"
"UFLEX Ltd.","PACKAGING","UFLEX","EQ","INE516A01017"
"UltraTech Cement Ltd.","CEMENT AND CEMENT PRODUCTS","ULTRACEMCO","EQ","INE481G01011"
"Unichem Laboratories Ltd.","PHARMACEUTICALS","UNICHEMLAB","EQ","INE351A01035"
"Union Bank of India","BANKS","UNIONBANK","EQ","INE692A01016"
"Unitech Ltd.","CONSTRUCTION","UNITECH","EQ","INE694A01020"
"United Breweries (Holdings) Ltd.","FINANCE","UBHOLDINGS","EQ","INE696A01025"
"United Breweries Ltd.","BREW/DISTILLERIES","UBL","EQ","INE686F01025"
"United Phosphorus Ltd.","PESTICIDES AND AGROCHEMICALS","UNIPHOS","EQ","INE628A01036"
"United Spirits Ltd.","BREW/DISTILLERIES","MCDOWELL-N","EQ","INE854D01016"
"Unity Infraprojects Ltd.","CONSTRUCTION","UNITY","EQ","INE466H01028"
"Usha Martin Ltd.","STEEL AND STEEL PRODUCTS","USHAMART","EQ","INE228A01035"
"Uttam Galva Steels Ltd.","STEEL AND STEEL PRODUCTS","UTTAMSTL","EQ","INE699A01011"
"V.I.P. Industries Ltd.","PLASTIC AND PLASTIC PRODUCTS","VIPIND","EQ","INE054A01027"
"VST Industries Ltd.","CIGARETTES","VSTIND","EQ","INE710A01016"
"Vakrangee Software Ltd.","COMPUTERS - SOFTWARE","VAKRANSOFT","EQ","INE051B01021"
"Varun Shipping Co. Ltd.","SHIPPING","VARUNSHIP","EQ","INE702A01013"
"Venky's (India) Ltd.","FOOD AND FOOD PROCESSING","VENKEYS","EQ","INE398A01010"
"Vesuvius India Ltd.","REFRACTORIES","VESUVIUS","EQ","INE386A01015"
"Videocon Industries Ltd.","CONSUMER DURABLES","VIDEOIND","EQ","INE703A01011"
"Vijaya Bank","BANKS","VIJAYABANK","EQ","INE705A01016"
"Voltas Ltd.","ENGINEERING","VOLTAS","EQ","INE226A01021"
"WABCO India Ltd.","AUTO ANCILLARIES","WABCOINDIA","EQ","INE342J01019"
"Welspun Corp Ltd.","STEEL AND STEEL PRODUCTS","WELCORP","EQ","INE191B01025"
"West Coast Paper Mills Ltd.","PAPER AND PAPER PRODUCTS","WSTCSTPAPR","EQ","INE976A01021"
"Whirlpool of India Ltd.","CONSUMER DURABLES","WHIRLPOOL","EQ","INE716A01013"
"Wipro Ltd.","COMPUTERS - SOFTWARE","WIPRO","EQ","INE075A01022"
"Wyeth Ltd.","PHARMACEUTICALS","WYETH","EQ","INE378A01012"
"Yes Bank Ltd.","BANKS","YESBANK","EQ","INE528G01019"
"Zee Entertainment Enterprises Ltd.","MEDIA & ENTERTAINMENT","ZEEL","EQ","INE256A01028"
"Zensar Technolgies Ltd.","COMPUTERS - SOFTWARE","ZENSARTECH","EQ","INE520A01019"
"Zodiac Clothing Co. Ltd.","TEXTILE PRODUCTS","ZODIACLOTH","BE","INE206B01013"
"Zydus Wellness Ltd.","FOOD AND FOOD PROCESSING","ZYDUSWELL","EQ","INE768C01010"
"eClerx Services Ltd.","COMPUTERS - SOFTWARE","ECLERX","EQ","INE738I01010"
